,Country,State,City,StationName,Timestamp,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
187,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-03-15,8.44,35,PM2.5,,,,,
188,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-03-22,8.31,34,PM2.5,,,,,
189,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-04-01,6.4,26,PM2.5,,,,,
190,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-04-09,5.11,21,PM2.5,,,,,
191,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-04-18,7.58,31,PM2.5,,,,,
192,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-05-08,6.34,26,PM2.5,,,,,
193,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-05-10,8.06,33,PM2.5,,,,,
194,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-05-27,4.24,18,PM2.5,,,,,
195,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-06-17,8.06,33,PM2.5,,,,,
196,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-06-28,9.92,41,PM2.5,,,,,
197,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-07-04,24.34,77,PM2.5,,,,,
198,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-07-15,8.24,34,PM2.5,,,,,
199,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-07-20,8.5,35,PM2.5,,,,,
200,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-07-29,14.38,56,PM2.5,,,,,
201,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-08-01,7.89,33,PM2.5,,,,,
202,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-08-19,3.95,16,PM2.5,,,,,
203,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-08-30,5.58,23,PM2.5,,,,,
204,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-10-07,9.18,38,PM2.5,,,,,
205,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-10-12,2.52,10,PM2.5,,,,,
206,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-11-06,34.09,97,PM2.5,,,,,
207,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-11-11,6.77,28,PM2.5,,,,,
208,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-11-24,10.46,43,PM2.5,,,,,
209,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-12-16,7.25,30,PM2.5,,,,,
210,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-12-17,10.88,45,PM2.5,,,,,
211,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-12-20,13.61,54,PM2.5,,,,,
212,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-12-27,14.74,57,PM2.5,,,,,
213,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-12-28,8.72,36,PM2.5,,,,,
214,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-01-06,10.86,45,PM2.5,,,,,
215,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-01-25,14.45,56,PM2.5,,,,,
216,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-02-06,6.33,26,PM2.5,,,,,
217,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-02-13,13.69,54,PM2.5,,,,,
218,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-02-14,12.24,51,PM2.5,,,,,
219,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-02,6.79,28,PM2.5,,,,,
220,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-09,30.61,90,PM2.5,,,,,
221,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-11,28.03,84,PM2.5,,,,,
222,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-14,10.64,44,PM2.5,,,,,
223,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-22,10.2,42,PM2.5,,,,,
224,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-25,20.0,68,PM2.5,,,,,
225,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-03-28,10.9,45,PM2.5,,,,,
226,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-06-02,19.24,66,PM2.5,,,,,
227,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-06-13,23.7,75,PM2.5,,,,,
228,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-07-26,19.67,67,PM2.5,,,,,
229,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-08-05,20.65,69,PM2.5,,,,,
230,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-08-17,5.33,22,PM2.5,12.92,4.33,,,
231,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-09-02,11.88,49,PM2.5,14.4,3.82,,,
232,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-09-04,9.04,37,PM2.5,13.46,4.78,,,
233,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-09-11,19.26,66,PM2.5,30.61,13.21,,,
234,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-09-28,14.33,56,PM2.5,27.42,17.54,,,
235,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-09-30,13.38,54,PM2.5,19.38,4.8,,,
236,USA,Pennsylvania,McKeesport,Liberty (SAHS),2020-10-16,6.52,27,PM2.5,,,,,
237,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-21,5.09,21,PM2.5,,,,,
238,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-05-26,29.92,88,PM2.5,,,,,
239,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-06-04,24.54,77,PM2.5,34.58,,,,
240,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-08-09,9.52,39,PM2.5,,,,,
241,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-02-04,5.14,21,PM2.5,,,,,
242,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-05-06,3.08,13,PM2.5,,,,,
243,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-12-16,6.6,27,PM2.5,,,,,
244,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-10-13,2.67,11,PM2.5,,,,,
245,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-06-11,1.0,4,PM2.5,,,,,
246,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-08-26,10.63,44,PM2.5,,,,,
247,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-12-27,23.79,75,PM2.5,,,,,
248,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-03-07,17.29,62,PM2.5,,,,,
249,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-09-23,30.83,90,PM2.5,,,,,
250,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-11-23,1.68,7,PM2.5,,,,,
251,USA,Pennsylvania,McKeesport,Liberty (SAHS),2021-01-18,6.6,27,PM2.5,,,,,
252,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-06-15,12.63,52,PM2.5,19.75,,,,
253,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-05-23,6.0,25,PM2.5,,,,,
254,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-11-24,15.8,59,PM2.5,,,,,
255,USA,Pennsylvania,McKeesport,Liberty (SAHS),2017-11-20,5.25,22,PM2.5,,,,,
256,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-11-15,2.48,10,PM2.5,,,,,
257,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-19,6.87,28,PM2.5,,,,,
258,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-10-21,3.04,13,PM2.5,,,,,
259,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-11-29,5.38,22,PM2.5,,,,,
260,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-05-12,13.92,55,PM2.5,,,,,
261,USA,Pennsylvania,McKeesport,Liberty (SAHS),2016-12-31,11.54,48,PM2.5,,,,,
262,USA,Pennsylvania,McKeesport,Liberty (SAHS),2018-11-26,3.75,15,PM2.5,,,,,
