Country,State,City,StationName,PM25,AQI,MainPollutant,PM10,SO2,CO,NO2,Ozone
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),15.13,57,PM2.5,,,,8.36,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),16.63,60,PM2.5,,,,5.94,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.86,37,PM2.5,,,,23.68,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.52,48,PM2.5,,,,6.31,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),10.83,45,PM2.5,,,,15.3,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.79,36,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.98,37,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),4.92,20,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),14.54,56,PM2.5,,,,20.93,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),11.52,48,PM2.5,,,,9.61,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),3.33,14,PM2.5,,,,13.41,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),6.38,26,PM2.5,,,,9.72,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.83,36,PM2.5,,,,11.52,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.51,39,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),15.52,58,PM2.5,,,,12.04,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),9.13,38,PM2.5,,,,17.86,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),8.5,35,PM2.5,,,,17.88,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.04,50,PM2.5,,,248.79,10.4,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.38,22,PM2.5,,,,18.8,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.34,22,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),12.41,52,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),13.04,53,PM2.5,,,,14.06,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),23.95,76,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),17.55,62,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),5.46,23,PM2.5,,,,4.58,
USA,Pennsylvania,Pittsburgh,Parkway East (Near Road),22,72,PM2.5,,,,,
